dict,L,k1,root_signal,dhatupatha_source,gana,pada,transitivity,causative,set,anit,vet,anubandhas,gloss_snippet
krm,1661,vraRa,both,dhatupatha,bhvadi,parasmaipada,akarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-451. <s>aka</s>. <s>sew</s>. <s>para</s>.)
krm,1662,vraRa,annotation,(annotation-only),curadi,ubhayapada,sakarmaka,0,1,0,0,,(X<s>-curAdiH</s>-1937. <s>saka</s>. <s>sew</s>. <s>uBa</s>.
krm,1663,vraScU,annotation,(annotation-only),tudadi,parasmaipada,sakarmaka,0,1,0,1,,(VI<s>-tudAdiH</s>-1292. <s>saka</s>. <s>vew</s>. <s>para</s
krm,1664,vrI,citation,dhatupatha,kryadi,parasmaipada,sakarmaka,0,0,0,0,,(IX<s>-kryAdiH</s>-1504. <s>saka</s>. <s>ani</s>. <s>para</s
krm,1666,vrIqa,annotation,(annotation-only),divadi,parasmaipada,akarmaka,1,1,0,0,,(IV<s>-divAdiH</s>-1126. <s>aka</s>. <s>sew</s>. <s>para</s>
krm,1667,vruqa,annotation,(annotation-only),tudadi,parasmaipada,sakarmaka,0,1,0,0,,(VI<s>-tudAdiH</s>-1393. <s>saka</s>. <s>sew</s>. <s>para</s
krm,1668,vlI,citation,dhatupatha,kryadi,parasmaipada,sakarmaka,0,0,0,0,,(IX<s>-kryAdiH</s>-1502. <s>saka</s>. <s>ani</s>. <s>para</s
krm,1669,Saka,both,dhatupatha,divadi,ubhayapada,sakarmaka,0,0,1,0,,(IV<s>-divAdiH</s>-1187. <s>saka</s>. <s>aniw</s>. <s>uBa</s
krm,1670,Saki,annotation,(annotation-only),bhvadi,,akarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-86. <s>aka</s>. <s>sew</s>. <s>Atma</s>.) <
krm,1671.1,Sakvf,annotation,(annotation-only),bhvadi,,sakarmaka,0,1,0,0,,"(1<s>-BvAdiH… saka</s>. <s>sew</s>. <s>Atma</s>.) <div n=""NI"
krm,1672,Saca,annotation,(annotation-only),bhvadi,,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-165. <s>saka</s>. <s>sew</s>. <s>Atma</s>.)
krm,1673,Sawa,both,dhatupatha,bhvadi,parasmaipada,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-299. <s>saka</s>. <s>sew</s>. <s>para</s>.)
krm,1674,SaWa,annotation,(annotation-only),bhvadi,parasmaipada,akarmaka,0,1,0,0,,(1<s>-BvAdiH</s>-340. <s>aka</s>. <s>sew</s>. <s>para</s>.)
krm,1675,SaWa,annotation,(annotation-only),curadi,ubhayapada,sakarmaka,0,1,0,0,,(X<s>-curAdiH</s>-1564. <s>saka</s>. <s>sew</s>. <s>uBa</s>.
