siglum	count	ctx1	ctx2	ctx3
SundŚ.	1	CitraMī. 2. 4; SundŚ. 80;		
ŚārāTi.	1	ŚārāTi. 7. 87; 12. 76; TantrSā.(K.)		
DeviMā.	1	DeviMā. 86. 12;		
VyaktiVī.	1	leaf like lower lip VyaktiVī.		
SubhāṢi.	1	SaduktiKa. 130. 32; SubhāṢi. 1312;		
MahāNā.	1	PadyaVe. 234; ŚṛṅgāSa. 88; MahāNā. 4. 9.		
KūṭṭMa.	1	KūṭṭMa. 200 (comm. );		
PuṣpaBāVi.	1	PuṣpaBāVi. 6.		
ŚṛṅgaTi.	1	(A.) 53. 5; ŚṛṅgaTi.		
Ragunā.	1	Ragunā. 12. 79;		
RatRaha.	1	RasGaṅ. 695. 5; RatRaha. 15. 101;		
RrtiRaha.	1	RrtiRaha. 13. 32;		
Go.	1	Go. xi. 20. 8.		
Rāghava.	1	i. 73. 21; {@C@} base reply Rāghava.		
SundarŚ.	1	SundarŚ. 92.		
BhallāC.	1	BhallāC. 1. 12; KandaCū. v. 2. 8; CitraMī. 1. 17; Śil		
ŚāṅkhāSS.	1	KauṣiBr. 3. 7 (12. 15); ŚāṅkhāSS.		
Bārhaspa.	1	Bārhaspa. 2. 69; PadārthaSaṃ. 280. 4;		
VedāntPa.	1	VedāntPa. 299. 2; Tarkāmṛ. 2. 15;		
ṢaḍdaSa.	1	SyādvāMañ. 4 (29); 23 (5); ṢaḍdaSa.(Rā.)		
Upāsk.	1	Upāsk.		
ĀdīP.	1	ĀdīP. 3. 13;		
VāvuP.	1	VāvuP. i. 8. 54.		
KāsyaS.	1	KāsyaS. 83A. 16;		
BṛĀṛaUBhVā.	1	BṛĀṛaUBhVā. iv. 3. 1250.		
BhaGī.	1	ness BhaGī. 1. 41.		
DavīBhāP.	1	aP. 356. 12 (1. 38); BrahmVaiP. iii. 34. 39; DavīBhāP. viii. 23. 3;		
Tantrākyā.	1	Tantrākyā. 123. 3;		
CiaraS.	1	CiaraS. vi. 12. 17 (1941 Ed.); CaraS. viii. 6. 20		
LomaŚi.	1	LomaŚi. 7. 9;		
ŚlokaVar.	1	ŚlokaVar. 6. 187 (776. 7); AṣṭāSaṃ.		
PrithvīVi.	1	PrithvīVi. 7. 36; SaṅkarKāBh. 44. 9		
BaudhS.	1	MānGS. ii. 6. 4; BaudhS. i. 2. 28;		
AlaṃkāŚe.	1	TantrSā.(K.) 91. 25 (2); 110. 12; AlaṃkāŚe. 13. 4 (3);		
BrāhmSphSi.	1	BrāhmSphSi. 9. 21;		
KāṭanVṛ.	1	P. vi. 4. 14; Kātan. ii. 2. 20; (KāṭanVṛ.		
CāndṛaVṛ.	1	(CāndṛaVṛ. ); ŚākaṭāVyā. i. 1. 64;		
Vajjracchedikā.	1	Vajjracchedikā. 38. 14 ; {@3@} non-(genuine) metal, other		
ŚivārkaMa.	1	ŚivārkaMa. Dī. i. 8. 8 ( i. 1. 1); BhāṭṭDī. ii. 192. 1		
Vajracchedikā.	1	flow, Vajracchedikā. 39. 12		
BṛhmāṇḍP.	1	ViṣṇuSm. 63. 3; BṛhmāṇḍP. ii. 7. 406;		
Spru.	1	v(1). 6. 69; Ind. Spru. 4528; {@2Aii@}		
W.	1	P.W.) ĀśvaGS. ii. 3. 3;		
NyāyŚiA.	1	ūBh.(Ma.) 69B. 9 ( iv. 2. 9); ŚatDū. 64. 8; NyāyŚiA. 221. 11;		
ŚatTrāyī.	1	ŚatTrayī. 287; 70; ŚatTrāyī.		
BrahmaSphuSi.	1	BrahmaSphuSi. 15. 54.		
MukaPañ.	1	MukaPañ. 5. 71.		
SamarāSā.	1	ii(2). 105. 6; SamarāSā. 39. 21;		
PrabhaC.	1	Kāvyānu.(He.) 140. 7; PrabhaC. 3. 25;		
BhartṛNī.	1	BhartṛNī. 3. 11.		
GaṅgāVa.	1	GaṅgāVa. 5. 27.		
VedāntKaTa.	1	VedāntKaTa. 271. 24;		
GaturCin.	1	GaturCin. iii(1). 1133. 16.		
ŚantiŚi.	1	ŚatTrayī. 315 = ŚantiŚi. 2. 15 = SaduktiKa. 320. 18.		
SūktiRaHā.	1	Kirātā. 13. 61 = SūktiRaHā. 40. 35;		
ŚṛṅgāDi.	1	ŚṛṅgāDi. 3. 10.		
XVII.	1	EI. XVII. 347. 6;		
BheDhi.	1	BheDhi. 26. 3;		
AB.	1	Pradī. i. 541AB. 1 ( i. 1. 66);		
MaṅāBh.	1	relation of locus MaṅāBh. i.		
NyāyVārPāri.	1	NyāyVārPāri. 441. 9.		
NārāP.	1	24. 6; NārāP. 58. 41; BhaviP. 200B. 27 (i. 135. 61); PadmP		
ParyāŚaRā.	1	NānārthāSaṃ. iii. 22. 49; ParyāŚaRā.		
SiddāTaVi.	1	of an arc in between SiddāTaVi. 271. 5.		
UdaySuKā.	1	v. 21. 49; UdaySuKā. 8. 5; KalāVi. 9. 40;		
Yog.	1	i. 1. 1); SāṃkhyaPraBh. 6. 3 ( 1. 1); Yog.		
Pradīpa.	1	1. 49); (Pradīpa. );		
ŚastraDī.	1	ŚastraDī. 446. 2 ( vi. 1. 1); NyāyRaMā. 104. 10; ŚrīB		
DeviBhā.	1	DeviBhā. P. iii. 12. 43; vii. 39. 32;		
SarVeSāSaṃ.	1	SarVeSāSaṃ.		
CaitaC.	1	BallāC. 65. 2; 102. 16; CaitaC.		
BrahmSūBha.	1	iii. 4. 41); BrahmSūBha.(Śrī.) ii. 407. 2 ( iii. 4. 41)		
ŚālīC.	1	ŚālīC. 5. 57; {@4@} to appropriate to oneself, to t		
BhaktiSu.	1	BhaktiSu.(Śā.) ii. 2. 23;		
YogsūVṛ.	1	YogsūVṛ. 1. 1; {@Cii@} accepted, admitted, avowed		
ŚyādvāMañ.	1	ŚyādvāMañ. 25 (5);		
SāṃkyaKāBh.	1	SāṃkyaKāBh. 1. 23 ( 1);		
JñānBiPraka.	1	JñānBiPraka.		
XP.	1	¦ (adhi-gaṇ-) XP. {@i@} to state, to enumerate		
ŚrūtaPra.	1	ŚrūtaPra. iA. 16. 5 ( i. 1. 1); {@B@} who knows the		
ChandaŚCū.	1	ChandaŚCū. ii. 219. 2.		
Bhaṭṭ.	1	greatness Bhaṭṭ. 10. 72;		
GuntDS.	1	who finds or discovers GuntDS. ii. 1. 38;		
Caus.	1	(Caus.) to grant, to bestow upon		
KāhViT.	1	MahāP. 24. 154; KāhViT. 1. 21;		
Campā.	1	¦ (adhi-campam) towards the city of Campā.		
JaīmiBr.	1	JaīmiBr. 1. 291; JaimiUBr. i. 50. 3; {@B@} to surpass		
KatanVṛ.	1	MahāBh. i. 485. 13 ( ii. 4. 47); KatanVṛ.		
RasiJi.	1	RasiJi. 796.		
ŚśuVa.	1	ŚśuVa. 3. 39.		
Aṣṭā.	1	Aṣṭā.		
ŚabbaRa.	1	ŚabbaRa.(Vā.) 824; ParaNā. 720; KośaKaTa. 1. 2828; KalpaK.		
Satya.	1	called Satya. {@Ai@} protector, ruler, king, master, lord,		
Jāta.	1	Jāta. 6. 11; MatsyaP.		
Kumā.	1	Kumā.		
Bodhi.	1	Bodhi.		
CaPañ.	1	CaPañ. 224. 28;		
Vāja.	1	Vāja.(K.) 15. 9; KāṭhS. 17. 5 = MaiS. ii. 8. 6; ŚatBr.		
VājaṢ.	1	25. 10 = VājaS. 14. 5; VājaṢ.(K.) 15. 1; MaiS. ii. 8. 1; ŚatBr.		
AgniVeGS.	1	aS.(K.) xiii. 4. 14; ŚatBr. XII. iv. 3. 4; = AgniVeGS.		
SiddhāTaVī.	1	the additive months SiddhāTaVī. 389. 16; 392. 4.		
Kārṇḍavyūha.	1	Kārṇḍavyūha. 284. 26 (Darbhanga Ed.)		
AbhisaAlaṃ.	1	AbhisaAlaṃ. 2. 20;		
SātvaṬ.	1	SātvaṬ. 1. 51; {@ii@} pertaining to a sacrifice		
Śuklayajuḥsarvānukramaṇikā.	1	Śuklayajuḥsarvānukramaṇikā. i. 454 (p. 9)		
JaiminīyārṣeyaBr.	1	JaiminīyārṣeyaBr. v. 7. 1 (533)]		
KāśīPañ.	1	KāśīPañ. 3.		
Accs.	1	s, P. vii. 3. 43; used with Acc.; with two Accs.		
NĪtiMā.	1	NĪtiMā. 41. 3; NītiMā. 49. 19;		
DePra.	1	DePra. 112-2. 11; KandaCū. i. 4. 46; KathāK. 3. 20;		
Bhallaś.	1	RāmC. 25. 34; RāghPāṇ.(Dha.) 4. 26; Bhallaś. 31 = Subhāṣi. 799;		
Ac.	1	oming in conjunction with (a constellation) (Ac.) {@Ai@} climbed		
BṛKáthāK.	1	BṛKáthāK. 83. 38; {@Ci@} grown		
ŚṛṅgārSar.	1	RājTa.(ŚrI.) 2. 48; ŚṛṅgārSar.		
Kalyā.	1	MahāP. 3. 144; Kalyā.		
PādmaS.	1	PādmaS. iii. 26. 78;		
Vyavahāraprakāśa.	1	vilāsa p. 86; Vyavahāraprakāśa. p. 46;		
AnekāSā.	1	ParamāKā. 161. 1; AnekāSā. 543; Vaija. 265. 6 TrikāŚe. iii. 3. 443;		
NānānthāSaṃ.	1	NānānthāSaṃ. iii. 9. 30; MediK. 188. 47;		
AbhīdhāCin.	1	171. 156; ParyāMu. 22. 28; AbhīdhāCin. 637; MediK. 95. 101; ParyāŚaRa.		
DaśabhūmikāSūtra.	1	DaśabhūmikāSūtra. 75. 24; cf. DBHS.		
Dūtāṅga.	1	Rā. 6. 77 = Dūtāṅga. 45;		
BodhiC.	1	BodhiC. 8. 118.		
BhasmaJāU.	1	MahāBhā. xiii. 151*(4); BhasmaJāU. 564. 4;		
HarṣsaC.	1	HarṣsaC. 27. 1;		
ŚvetāSUBh.	1	ŚvetāSUBh. 75. 11		
BhavṛU.	1	BhavṛU. 651. 2;		
SarvaDaSam.	1	SarvaDaSam. 2. 150;		
SaddhaPuṇḍ.	1	SaddhaPuṇḍ. 237. 17; 149. 30; 193. 29; {@2iv@} (Buddh.)		
VodāntKa.	1	VodāntKa. 226. 7 ( i. 4. 23)		
BrahSūBh.	1	BrahSūBh.(Bhā.) 127. 27 ( ii. 2. 38);		
TBr.	1	(quoted in TBr.) MW. ? better and (not		
ŚyāmU.	1	ŚyāmU. 467. 13;		
VīraSt.	1	VīraSt. 4; TattvSaṃkhyā-		
DaśsāvaC.	1	DaśsāvaC. 1. 5.		
MātaṅgaL.	1	an elephant, MātaṅgaL. 9. 14 [but		
YogRāU.	1	YogRāU. 10 = ŚārṅgaPa. 4355;		
SūMañ.	1	SūMañ. 3. 25.		
GaniSāSaṃ.	1	GaniSāSaṃ. 5. 99; 5. 100.		
ŚāS.	1	ŚāS. 12. 8; Bhām.		
BhagP.	1	BhagP. iv. 22. 49.		
MudgaU.	1	MudgaU. 409. 8;		
Syādvā.	1	Syādvā.		
Padakaumudī.	1	RāghPāṇ.(Dha.) 9. 23 (Padakaumudī.		
Anukramaṇikā.	1	Sāmaveda Anukramaṇikā. 2. 208 (Indische Studien, 17. 361)		
GLOTTA.	1	outhar, GLOTTA. 48. 144 *eudh- ‘swell’; < or ,		
DMGM.	1	kramaṇikā (Ed. VIŚVA. DMGM., Lahore, 1935) 30. 15;		
CSS.	1	( add. in CSS. 18 and 19,		
YajñopavītaBr.	1	AV.(P.) xvi. 104. 7; Kāṭhaka YajñopavītaBr. 115. 6.		
WIS.	1	WIS. 5) RājTa.(Ka.) 7. 1009;		
Kārikā.	1	Kārikā. 158.		
Sk.	1	JPMJGM. Sk. 26, 1956) PadmP.(Ra.) 123. 172.		
ṚṭuSaṃ.	1	ṚṭuSaṃ. 6. 6;		
Kdh.	1	Cpd. formed with the negative particle and Kdh. Cpd. (formed of		
MyūMāli.	1	MyūMāli.		
Daśapādyuṇādi.	1	DEBRU. 532; Daśapādyuṇādi. 9. 107 (1943 Ed.), Kātan.		
GaṇPa.	1	included in GaṇPā. 30. 5; GaṇPa. 33. 22;		
BÓHTLINGK.	1	Śāk. 7. 192 (7) (BÓHTLINGK., 1842 Ed., 112. 9)		
TilaMāñ.	1	TilaMāñ. 35. 12.		
JBRAS.	1	JBRAS. 1946, Abhidharmakośakārikā, Ed. GOKHALE V. V		
Bhikṣuṇīkarmavācanā.	1	Bhikṣuṇīkarmavācanā. 27B. 4; [w. r. for		
Prajñāpāramitā.	1	Prajñāpāramitā. 56. 5		
BhālamBha.	1	VīraMi.(Saṃskāra.) 354. 26; BhālamBha. i. 47. 6 ( 1. 14); {@1C@} what		
VvutpaVā.	1	VvutpaVā. 144. 18;		
LikhitaDS.	1	LikhitaDS. 82; Kād. 45. 5;		
NvāySu.	1	NvāySu.(Ja.) 88B. 1 ( i. 1. 1); 375B. 6 ( ii. 2. 6);		
JñanBiPra.	1	JñanBiPra. 2. 20;		
PuarvottaVāNaMā.	1	PuarvottaVāNaMā. 345. 13; {@2@} absence		
BṛPanāSm.	1	4. 7; BṛPanāSm. 6. 287;		
KonUBh.	1	KonUBh. 43. 12 ( 2. 1);		
GaṅGa.	1	3. 68); GaṅGa. 3. 178 (216);		
HārīSm.	1	HārīSm. 6. 248;		
VedānstSā.	1	VedānstSā.(Sa.) 26. 10; YatīndraDī.		
BṛKāthāK.	1	BṛKāthāK. 10. 90;		
MahNirvāvāT.	1	MahNirvāvāT. 13. 170;		
Brahmā.	1	{@3xiii@} Brahmā. a form of Brahmā BhaviP. 43B. 27		
ParīTri.	1	ParīTri. 255. 11; {@7ii@} sound Śāra-		
SarvasāU.	1	SarvasāU. 4;		
AbhidhāCiu.	1	TrikāŚe. iii. 3. 144; AbhidhāCiu. 163; AnekāSaṃ. 3. 230; ParyāMu.		
ĀdhP.	1	ĀdhP. 24. 61;		
SathānṬ.	1	SathānṬ. 347A. 4; (in time)		
ArdhaNāSt.	1	ArdhaNāSt. 9;		
LalitāPañ.	1	lasting glory LalitāPañ. 6.		
GaṇiSāSam.	1	GaṇiSāSam. 0. 1;		
GaṇaP.	1	GaṇaP. ii. 79. 27; foot of Ananta (i. e. Viṣṇu),		
BrahmSūBa.	1	BrahmSūBa.(Rā.) 454. 14 ( ii. 1. 23)		
Dṛ.	1	Dṛ. 3. 93;		
MahāVya.	1	MahāVya. 184. 4 [name of a king of Mālava, a contem		
PāiśvC.	1	PāiśvC. 3. 41.		
YaśasCadm.	1	YaśasCadm. ii. 291. 24; ii. 294. 2; {@ii@} name of a Ja		
SrikṣāSa.	1	of a work SrikṣāSa. 18. 15		
GirahaGa.	1	GirahaGa. 3. 23 (1. 7)		
APiāti.	1	APiāti. 201 (comm.		
KaśaKaTa.	1	, NāmMā. 141; , KaśaKaTa. 2. 492; ,		
BhāktiRa.	1	BhāktiRa. 3. 13; 3. 17.		
GaṇeBhu.	1	GaṇeBhu. 8;		
IIr.	1	; cf. IIr. ; since Epics means ‘bearing’] bearing th		
ViśvāPra.	1	NighŚe. 2204; ViśvāPra. 67. 130; MediK. 63. 81; NānārthaMa. 724;		
KuṭtaMa.	1	KuṭtaMa. 551.		
VedāntaRaMañ.	1	VedāntaRaMañ. 1. 4 (52. 13)		
Prarā.	1	Prarā. i. 757. 11; SiddhāKau. 488A. 10 ( iii.		
LexiconsAmaK.	1	ŚivLī. 12. 46; [LexiconsAmaK. 2183; Vaija. 211. 128; AbhidhāCin.		
KumāSāṃ.	1	KumāSāṃ. 12. 38.		
YaśasCan.	1	YaśasCan. i. 382. 5.		
TarkSame.	1	TarkSame.(Ā.) 5. 22;		
IṣṭSi.	1	IṣṭSi. 166. 13;		
SpheṭSi.	1	SpheṭSi. 154. 1;		
Pṛthvīvi.	1	Pṛthvīvi. 1. 22; {@4@} a kind		
MaṇḍUBh.	1	MaṇḍUBh. 309. 11 ( i. 1. 6); {@3A@} not having posit		
KauṣīBī.	1	KauṣīBī. 11. 1 (49. 10)		
MaiSi.	1	MaiSi. i. 10. 20 (i. 161. 1);		
TantrRāha.	1	TantrRāha. 35. 11.		
KasthāSaSāg.	1	MahāBhā. vii. 102. 12; KasthāSaSāg.		
HarSaC.	1	HarSaC. 325. 17;		
MahāVyū.	1	ŚikṣāSa. 105. 8; MahāVyū.		
MSS.	1	r, which has not (yet) served its purpose (MSS.		
KaśKuC.	1	KaśKuC. 137. 9.		
BrahmāṇiḍP.	1	BrahmāṇiḍP. ii. 7. 5.		
RāmāSāSt.	1	RāmāSāSt. 3;		
ŚṛṅgāKaTri.	1	barrenness ŚṛṅgāKaTri. 3. 97.		
NāhārthāSaṃ.	1	NāhārthāSaṃ. iii. 2. 8, cf. {@ @}.		
DānLīKā.	1	DānLīKā. 31.		
ŚivārkaMadī.	1	ŚivārkaMadī. i. 32. 34 ( i. 1. 1); i. 115. 2		
SamanāSū.	1	SamanāSū. 8. 22.		
KavyMī.	1	KavyMī. 23. 11;		
VīrāMī.	1	VīrāMī.(Saṃskāra.)		
Kapphiṃā.	1	Kapphiṃā.		
JātaPrā.	1	Sārā. 13. 1; JātaPrā. 7. 72.		
ŪruBh.	1	iii. 2. 1; ŪruBh. 42;		
JāineVyā.	1	MahāBh. ii. 143. 19 ( iii. 3. 15); JāineVyā. 121. 10 ( ii. 3. 14);		
BhāṭtCin.	1	BhāṭtCin. i. 134. 2 ( i. 1. 6)		
KauṣlBr.	1	(551) = KauṣlBr. 21. 2 (93. 12) = KauṣīBr. 22. 5 (99. 10) = A		
KapiKas.	1	KapiKas. 25. 1 (93. 6); 31. 2 (149. 8); VājaS. 11. 83		
MāSt.	1	MāSt. 21.		
ŚivaKePāSi.	1	ŚivaKePāSi. 23.		
DLJP.	1	Cin. 275 (DLJP. 92, 1946); ŚabdaRa.(Vā.) 1858; KalpaK. 448.		
LatitāTriBh.	1	LatitāTriBh. 308. 12 ( 32);		
WS.	1	ViveCū. 320 (VVP. WS. 14)		
RājTā.	1	RājTā.(Ka.) 5. 263;		
KatlāK.	1	KatlāK. 6. 19.		
KāvyālaṅSāSāṃ.	1	KāvyālaṅSāSāṃ. 5. 16.		
UpadeŚa.	1	UpadeŚa. 17.		
ṬīkāSa.	1	(2) , AmaKoUd. i. 1. 54; ṬīkāSa. i. 1. 54; Ujjvala-		
SmṛCan.	1	SmṛtiCan. v. 211. 12; SmṛCan. v.		
MūU.	1	MūU. 9.		
MatysaP.	1	MatysaP. 188. 30 =		
KaŚ.	1	KaŚ. 41.		
BṛJāhāU.	1	BṛJāhāU. 2 (1); ŚivaP. vii(1). 28. 5 (533A. 5);		
BṛKathāMāñ.	1	(persons), BṛKathāMāñ. ix. 2. 1221.		
KatṇaSu.	1	KatṇaSu. 2. 11; numerous architectural patterns		
LāṅkāSū.	1	LāṅkāSū. 3. 85 (83) (80. 17)		
Ī.	1	ŚatBr. Ī. i. 1. 8 = II. i. 4. 2; ŚatBr.(K.) I. i. 4. 1		
ŚābhBh.	1	ŚābhBh. 129. 1 ( i. 2. 14);		
PrahāvC.	1	PrahāvC. 55. 29; TarkBhā.(Ke.) 53. 14;		
NityāŚeḍa.	1	YogSū. 2. 31 = NityāŚeḍa.		
SumukhU.	1	SumukhU. 473. 6;		
ŚanekaDigVi.	1	qualities ŚanekaDigVi.		
SaṃṣeŚā.	1	SaṃṣeŚā. 3. 162 (ii.		
ŚutraPra.	1	ŚutraPra. iA. 138. 18 ( i. 1. 1)		
ParaMāKā.	1	ParaMāKā. 59. 42.		
ŚiśVa.	1	ŚiśVa. 8. 45.		
NītlVā.	1	NītlVā. 14. 6.		
LakṣnīT.	1	LakṣnīT. 13. 37; VedāntKa. 97. 6 ( i.		
BrahmSūBl.	1	BrahmSūBl.(Rā.) 163. 15 ( i. 1. 4);		
YatīndraLi.	1	3. 1); YatīndraLi. 35. 2;		
MaYánaSū.	1	MaYánaSū. 188. 9 (20-21. 59)		
SaṅkārKāBh.	1	single breath SaṅkārKāBh. 179. 19 ( iv. 1. 12);		
KeC.	1	KeC. 36 (5)		
BrahnSūBh.	1	BrahnSūBh.(Śaṅ.) 860. 7 ( iv. 4. 19);		
ṬantrRā.	1	ṬantrRā. 29. 100;		
KāvyPradī.	1	KāvyPradī.		
Rāṣtrau.	1	Rāṣtrau. 10. 38.		
ŚāṭyāyanīU.	1	ŚāṭyāyanīU. 18;		
LaŚubdeŚe.	1	Mañ. KāśiVṛ. P. ii. 1. 5; LaŚubdeŚe. i. 527. 8;		
KāṭhŚṛU.	1	KaṭhRuU. 1; KāṭhŚṛU. 2 (3);		
BS.	1	( , BS. Ed.) TaiĀ. vi. 5. 2		
SuvṛṬi.	1	SuvṛṬi. 1. 31.		
Ttp.	1	, cf. P. v. 4. 107); {@ii@} (at the end of Ttp.		
ŚiddhāKau.	1	KāśiVṛ. vi. 2. 160; ŚiddhāKau. 652B. 13 ( vi. 2. 160);		
BālRa.	1	BālRa. 6. 12 (9); 7. 85 (5); -- (		
AbhisaAlaṅA.	1	AbhisaAlaṅA. 354. 14		
Naiṣka.	1	BṛĀraUBhVā. i. 2. 109; Naiṣka.		
SūktiR.	1	NīDa. 13. 7 = SūktiR. a36. 1;		
Sternbach.	1	CāṇaNīDa. 10. 6 (Sternbach.		
Vyavabāra.	1	VīraMi. (Vyavabāra.) 331. 25.		
AryaŚāS.	1	AryaŚāS. 18. 12;		
NaiṣakaSi.	1	SarvaVeSāSaṃ. 275; NaiṣakaSi.		
DaU.	1	DaU. 1. 12;		
AhidhKoBh.	1	AhidhKoBh. 400. 8 ( 7. 13);		
YogŚa.	1	YogŚa. 4. 100=TriṣaŚaPuC. iv. 2. 317 = CampaŚreKa.		
DuṇḍaVi.	1	DuṇḍaVi. 59. 11-12;		
GovindĀ.	1	JaimiBr. 1. 37; GovindĀ.		
Natābhyu.	1	Natābhyu. 7. 57;		
Jaina.	1	inconsequence {@iv@} (Jaina.) indifference or non-enthusiasm {@v@}		
RasūSu.	1	205. 24; RasūSu. 55. 13 (1. 206); SāhiDa. 133. 2; AlaṅkāKau.(		
VaSū.	1	VaSū. 31.		
PuṣkS.	1	ParaS. 13. 189; PuṣkS. 26. 58; TattvSa.(3) 123. 3;		
Puruṣ.	1	Puruṣ. 106. 7 ( 159)		
ŚāṅC.	1	ŚāṅC. 4. 53; {@2A@} not zealous, not diligent		
ParaBrahmU.	1	ParaBrahmU. 529. 19;		
ParāmāKā.	1	ParāmāKā. 134. 14.		
ŚāṭyāyaniBr.	1	ŚāṭyāyaniBr. 64. 1 (collection of the Fragments of Lost B		
Suhbāṣi.	1	69 = KāvyPra. 788. 2 = VyaktiVi. 104. 10 = Suhbāṣi. 1001; SāhiDa.		
AVŚāntikalpa.	1	AVŚāntikalpa. 17. 3;		
AmṛL.	1	AmṛL. 8.		
ParīPar.	1	ParīPar. 10. 4; {@B@} who or which has not come		
Cā.	1	Cā. 10.		
ŚivārkaMalī.	1	ŚivārkaMalī. i. 12. 31 ( i. 1. 1)		
Bhān.	1	Bhān. 273. 15 ( i. 3. 39)		
BORI.	1	the brilliant stars are not visible BORI. Ed.)		
JnānDī.	1	(JnānDī. ); {@4@} unobtained		
Atharvaprāyaścittāni.	1	Atharvaprāyaścittāni. 4. 2;		
RāmāMāñ.	1	RāmāMāñ. 211. 18;		
NīrṇaSi.	1	NīrṇaSi. 333. 7.		
ŚantiŚ.	1	ŚantiŚ. 4. 28;		
Āhuika.	1	VīraMi. (Āhuika.) 193. 23.		
HaṃsPaU.	1	HaṃsPaU. 483. 12; YājñaU. 601. 26 (2); JābālaU. 5; Bā		
CP.	1	(CP. Ed.) (BhārBhāDī. )		
BaPāC.	1	BaPāC. 29. 6;		
VVRI.	1	hold (v. l. VVRI., 1963)		
SiśuVa.	1	MahāBhā. i. 69. 15; xii. 12. 4; SiśuVa. 16. 7;		
MaYānaSu.	1	Alaṅ. 4. 26; MaYānaSu. 160. 15 (19. 2) [ want of taste, insipidity		
PiṇḍaPitṛBr.	1	PiṇḍaPitṛBr. 68. 5;		
KuṇdiU.	1	PaU. 3. 86; KaṭhRuU. 1. 1; KuṇdiU. 9; ParaHaṃsPaU. 484. 13;		
PṛĀraUBh.	1	PṛĀraUBh.(Śaṅ.) 46. 6 ( i. 3. 2);		
HammīMaKa.	1	HammīMaKa. 8. 55;		
SaṃkhyaTaKau.	1	SaṃkhyaTaKau. 387. 1 ( 37); 276. 3 ( 12);		
PraśuaUBh.	1	PraśuaUBh. 297. 14 ( 6. 3)		
YuktiSnehā.	1	48. 15; YuktiSnehā. 146. 3 ( i. 1. 6);		
Bhāvārtha.	1	BhāgP. viii. 5. 27 (Bhāvārtha.		
Strotrā.	1	Strotrā. 3. 9.		
NārāSm.	1	NārāSm. 173. 3; SmṛtiCan.		
ManyaVi.	1	ManyaVi. 1414. 7 ( 11. 138);		
ŚverāUBh.	1	ŚverāUBh. 215. 10 ( 5. 11);		
TanttvVai.	1	TanttvVai. 141. 15 ( 3. 17); TantrRa. 254. 11;		
VaivāBhū.	1	NyāySu.(Ja.) 77B. 11 ( i. 1. 1); VaivāBhū. 189. 15 ( 36);		
MayūMāti.	1	MayūMāti.		
Khil.	1	AV. xx. 135. 13. Khil. v. 21. 3; ŚāṅkhāŚS. xii. 16. 3; ĀśvaGS. ii.		
NaiṣkaṢi.	1	NaiṣkaṢi. 44. 5.		
ŚivārMaDī.	1	ŚivārMaDī. i. 94. 16 (		
SarvānukramaSū.	1	SarvānukramaSū. 10A. 14; VājaPrāti. 4. 19;		
SadohaPuṇ.	1	LaliVi. 1. 0 (9); SadohaPuṇ. 1. 13;		
VāsaDā.	1	prevented, VāsaDā. 62. 4 (comm. )		
VaiyūBhū.	1	VaiyūBhū. 129. 19		
VyakiVi.	1	VyakiVi. 127. 26.		
Hastvāyur.	1	Hastvāyur.		
HātLa.	1	HātLa. 32. 11;		
Śāṅ.	1	KāṭhU. 5. 14 (Śāṅ. );		
SuhāU.	1	SuhāU. 3;		
JāṭaMā.	1	JāṭaMā. 172. 15 (26. 26)		
VāsāDa.	1	VāsāDa. 268. 7.		
NyāvKa.	1	NyāvKa. 89. 4;		
JRAS.	1	7 (JRAS. London, 1932)		
PratyābhiVi.	1	PratyābhiVi. ii. 131. 1 ( ii. 3. 14); ŚāstrDī. 110. 27 (		
PāṇḍāC.	1	PāṇḍāC.(Bhavnagar		
VṛParāSm.	1	VāyuP. ii. 5. 20; BṛhaspaSm. 83. 19; VṛParāSm. 2. 188; MatsyaP.		
IśāU.	1	; VājaS.(K.) 40. 17; ŚatBr. XIV. viii. 3. 1; IśāU. 17;		
HirVi.	1	HirVi. 43. 366; KulārT. 3. 51;		
MataKeC.	1	MataKeC. 72;		
ṢaḍḍarSa.	1	ṢaḍḍarSa.(Ha.) 61; ṢaḍdarSa.(Rā.) 117;		
AnckāTi.	1	Saṃ. 3. 615; , AnckāTi. 2. 22; Anekā.(Pa.) 2689; ,		
Jayama.	1	KāmSū. 209. 5 (3. 3) (Jayama.		
PrakāVi.	1	BhāgP. v. 19. 20; PrakāVi.		
MāhāU.	1	MāhāU. 5 (148) = YogVā. iv. 44. 18		
SaṭCakraNi.	1	SaṭCakraNi. 26.		
ManyaMu.	1	ManyaMu. 321. 15 ( 8. 175); {@Aix@} non-recurring		
Rāsā.	1	Rāsā. 12. 32.		
PāṇḍDi.	1	PāṇḍDi. 1. 115; 1. 346; 6. 558;		
TripuDi.	1	TripuDi. 2. 8; 3. 20;		
YogaŪ.	1	YogaŪ. 117;		
GaṇḍKā.	1	GaṇḍKā. 2. 17; BṛĀraUBhVā. ii. 1. 2;		
DhaṇḍaVi.	1	place of residence DhaṇḍaVi. 329. 20.		
SumantuDS.	1	SumantuDS. 83. 2;		
TārtkiRa.	1	negated TārtkiRa. 174. 1.		
ŚrukraNī.	1	ŚrukraNī. 4(7). 33.		
VyāvaMa.	1	VyāvaMa. 184. 1.		
TattvPraDī.	1	TattvPraDī.(Ci.) 184. 8.		
BauchŚS.	1	BauchŚS. ii. 74. 3;		
